name,frequency
CONSTANTINA,1924
PAULA ANDREA,1924
MONICA MARIA,1921
GLADYS,1914
GEMMA MARIA,1906
ANA DOLORES,1900
CELESTE,1900
ANGELINES,1898
EULOGIA,1898
ANA JOSEFA,1895
CRESCENCIA,1895
RAIMUNDA,1894
SAMANTHA,1893
BLANCA ESTHER,1892
MARYAM,1888
DIVINA,1886
DANIELLA,1884
EKATERINA,1884
ILEANA,1884
NOURA,1884
ROGELIA,1883
ENCARNACION MARIA,1877
ENEDINA,1876
CORNELIA,1875
MARIA ESMERALDA,1875
MARIA JOSEFINA,1871
JANET,1867
DOMITILA,1860
ASMAE,1854
IRENE MARIA,1854
MARTHA,1847
MONIKA,1846
GINESA,1844
RABIA,1841
MISERICORDIA,1839
MARIA ANUNCIACION,1838
ELIANA,1837
ANTONINA,1835
MARIA AMALIA,1834
ANA PAULA,1830
AGNES,1825
AMIRA,1824
MARIA CORO,1813
CIPRIANA,1811
CAMELIA,1804
JULITA,1804
BLASA,1800
ARLET,1797
CLAUDIA MARIA,1795
SEVERINA,1792
IVANA,1776
AINTZANE,1773
KAOUTAR,1772
ROSA ELENA,1769
ERUNDINA,1765
FLORICA,1762
MARIA JULIANA,1762
FARIDA,1759
OLVIDO,1758
PURA,1749
RANIA,1745
MARIA ROSER,1741
MARIA EMMA,1740
MARIA MARTA,1740
JOVITA,1733
SILVANA,1728
ANDREEA,1726
MARGARITA MARIA,1722
YOLANDA MARIA,1722
CESAREA,1717
JOSUNE,1717
YARA,1715
BEATRIZ MARIA,1713
LENUTA,1711
GALINA,1707
ENERITZ,1704
ESPERANZA MACARENA,1700
IDOYA,1700
IULIANA,1699
GARBIÑE,1694
YOUSRA,1694
HAKIMA,1693
CLAUDIA PATRICIA,1690
CANDELAS,1688
LUCINDA,1688
FLOR MARIA,1686
PAOLA ANDREA,1686
HOUDA,1683
YOANA,1683
CORINA,1682
CLAUDINA,1681
DORA,1681
JOSEPA,1677
NABILA,1675
MARIA ICIAR,1673
FOUZIA,1667
MIREN EDURNE,1665
NEREIDA,1658
ALAITZ,1656
CUSTODIA,1655
MARIA MACARENA,1651
BLANCA ROSA,1648
SANDRA MILENA,1642
MARIA PETRA,1638
ANDREA MARIA,1636
LEOCADIA,1635
MARIA FELICIDAD,1635
DANA,1630
DOMINICA,1630
BENILDE,1629
MARIA MILAGROSA,1628
ALDARA,1625
SUSANNA,1624
MARTHA CECILIA,1618
MAYRA,1617
CHAIMAE,1612
MARIA LIDIA,1607
NOELIA MARIA,1607
ARRATE,1606
MARIA MILAGRO,1606
AGRIPINA,1605
CATHERINE,1602
ETELVINA,1602
LIDIA ESTHER,1600
CARLA MARIA,1599
MARIA PATRICIA,1596
JOANNA,1594
AINOHA,1593
LORENA MARIA,1592
MILENA,1591
AMERICA,1589
ZULEMA,1589
MAIA,1586
AQUILINA,1585
ARIANE,1584
CLEMENCIA,1582
DAFNE,1581
KARLA,1581
DEMETRIA,1580
LIBRADA,1580
ANA JESUS,1577
SAMANTA,1573
DALIA,1570
ALEJANDRA MARIA,1565
ADOLFINA,1558
LOURDES MARIA,1556
MELANI,1556
YASMINE,1556
ALESSANDRA,1553
MARIA ANDREA,1547
MARIA TRANSITO,1547
ROSA DELIA,1543
MARIA SILVIA,1541
ASTRID,1535
CARMEN GLORIA,1527
EVELIA,1519
SHEYLA,1519
ELBA,1518
INDIRA,1518
AMADORA,1516
MARIA CORAL,1512
SANDRA PATRICIA,1510
VIVIANA,1509
SANTA,1506
AURORA MARIA,1505
CEFERINA,1501
ALEJANDRINA,1499
MERYEM,1499
DIANA CAROLINA,1497
CELINA,1496
HILDA,1494
MARTA ISABEL,1494
ANGELICA MARIA,1493
SOUMIA,1488
EDITH,1487
FADMA,1483
PINO,1481
ANA PATRICIA,1479
MARIA DELIA,1478
MARIA ENRIQUETA,1478
ALMA MARIA,1477
DORINA,1477
MARIA CRISTO,1477
HIND,1476
MARIA SARA,1476
MARIA SOFIA,1474
VASILICA,1470
MARIA PATROCINIO,1465
ELEUTERIA,1463
CARMEN ROCIO,1461
TOURIA,1461
THALIA,1459
NATALIA MARIA,1458
SAMIA,1453
SARA ISABEL,1451
AISHA,1445
KRISTINA,1445
AMARA,1435
MARIA GORETTI,1434
TANIA MARIA,1433
ARIANNA,1428
HOURIA,1422
CHRISTINE,1419
RUTH MARIA,1417
GRACIA MARIA,1416
SYLVIA,1416
PILAR MARIA,1413
JOHANNA,1409
MARIA ALEXANDRA,1408
MARIA ARANTZAZU,1408
MARIA FLORA,1407
FATOUMATA,1406
NAOUAL,1405
LINDA,1394
MANAL,1392
HALYNA,1390
SALIMA,1389
RICARDA,1388
GRETA,1387
OLHA,1387
FLORINA,1384
LAYLA,1382
GUACIMARA,1380
MARIA CABEZA,1379
MARIA HORTENSIA,1379
MARIA LETICIA,1378
LARISA,1375
FABIANA,1373
ZAHIRA,1371
MARINELA,1370
GRISELDA,1367
MARCIANA,1367
ANA MERCEDES,1366
DAYANA,1363
MARIA ELOISA,1362
MARIA PRESENTACION,1362
MARIA PUERTO,1361
PENELOPE,1361
VALLE,1359
DENISE,1358
LUMINITA,1356
MALEN,1354
HERMELINDA,1348
ELSA MARIA,1346
HANNA,1338
CRUZ,1337
KATHERINE,1334
SOUKAINA,1333
ESTEL,1332
HELIODORA,1332
MARIA HELENA,1330
MARIA VEGA,1328
FELICITA,1327
SEILA,1326
ADRIANA MARIA,1325
MARIA JESUSA,1325
LINA MARIA,1321
LYUDMYLA,1319
SUSAN,1319
LIVIA,1315
LEANDRA,1312
RENATA,1305
GHIZLANE,1303
LLUISA,1302
LUA,1301
ANA LAURA,1297
MARIA IGNACIA,1297
ASMAA,1295
XIANA,1294
ANA ROCIO,1291
MARIA OLVIDO,1291
MARIA FLORENCIA,1290
MARTA ELENA,1289
SANAA,1288
BONIFACIA,1287
CORAIMA,1287
DULCENOMBRE,1287
ANA CAROLINA,1284
MARIA PUY,1283
YULIA,1279
AGATA,1276
ALBERTA,1276
LIUDMILA,1276
DOUNIA,1275
ADELA MARIA,1274
MARIA NAZARET,1274
ASSIA,1273
JUANA ANTONIA,1272
XIOMARA,1269
GARA,1268
MIREN JOSUNE,1266
IRANTZU,1262
EPIFANIA,1259
ANA DELIA,1258
BELLA,1258
ANA ESTHER,1255
IVETTE,1254
NELLY,1254
LAUREANA,1253
MARIA AMAYA,1249
IBTISSAM,1244
MARIA VIOLETA,1244
STEFANIA,1243
MARIA MONTAÑA,1240
CARMINA,1239
ERMITAS,1238
ISABEL CRISTINA,1235
MARIA MONICA,1235
CHIARA,1232
SILVINA,1229
